ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
FNB0x202301,CUS_0xb8ap,November,Kuena Mokhothu,29,630-52-9597,Lawyer,143544.96,12156.08,5,7,14,0,,30,15,-2.74,4,_,1434.18,32.96939562,16 Years and 1 Months,Yes,0,254.0088192,!@9#%8,1211.599181
FNB0x202302,CUS_0xb8ap,December,Kuena Mokhothu,29,630-52-9597,Lawyer,143544.96,12156.08,5,7,14,0,,25,14,1.26,4,Standard,1434.18,42.66650434,16 Years and 2 Months,Yes,0,589.7341625,High_spent_Small_value_payments,885.8738375
FNB0x202303,CUS_0xb8ap,January,Kuena Mokhothu,29,630-52-9597,Lawyer,143544.96,12156.08,5,7,4,2,"Student Loan, and Not Specified",11,4,7.86,5,Good,991.98,36.63089835,32 Years and 11 Months,No,396.3407625,379.5111434,Low_spent_Small_value_payments,308.0166041
FNB0x202304,CUS_0xb8ap,February,Kuena Mokhothu,29,630-52-9597,Lawyer,143544.96,12156.08,5,7,4,2,"Student Loan, and Not Specified",15,3,7.86,5,_,991.98,29.03979264,33 Years and 0 Months,NM,396.3407625,__10000__,Low_spent_Large_value_payments,259.0952988
FNB0x202305,CUS_0xb8ap,March,Kuena Mokhothu,29,630-52-9597,Lawyer,143544.96,12156.08,5,7,4,2,"Student Loan, and Not Specified",16,1,7.86,5,Good,991.98,30.79873319,33 Years and 1 Months,No,396.3407625,303.8317338,Low_spent_Small_value_payments,383.6960138
FNB0x202306,CUS_0xb8ap,April,Kuena Mokhothu,29,630-52-9597,Lawyer,143544.96,12156.08,5,7,4,2,"Student Loan, and Not Specified",11,3_,7.86,5,_,991.98,22.86079276,33 Years and 2 Months,No,396.3407625,581.6754634,Low_spent_Small_value_payments,105.8522841
FNB0x202307,CUS_0xb8ap,May,Kuena Mokhothu,29,630-52-9597,Lawyer,143544.96,12156.08,5,7,19,3,"Not Specified, Payday Loan, and Student Loan",25,20,12.83,8,Standard,1191.5,23.76117217,24 Years and 1 Months,Yes,61.05508493,__10000__,High_spent_Medium_value_payments,432.6550617
FNB0x202308,CUS_0xb8ap,June,Kuena Mokhothu,29,630-52-9597,Lawyer,143544.96,12156.08,5,7,19,3,"Not Specified, Payday Loan, and Student Loan",25,19,12.83,8,_,1191.5,31.01497735,24 Years and 2 Months,Yes,61.05508493,141.4873301,High_spent_Small_value_payments,376.078585
FNB0x202309,CUS_0xb8ap,July,Kuena Mokhothu,29,630-52-9597,Lawyer,143544.96,12156.08,5,7,19,3,"Not Specified, Payday Loan, and Student Loan",20,19,12.83,8,Standard,1191.5,28.00975461,24 Years and 3 Months,Yes,61.05508493,,Low_spent_Small_value_payments,121.7363012
FNB0x202310,CUS_0xb8ap,August,Kuena Mokhothu,29,630-52-9597,Lawyer,143544.96,12156.08,5,7,19,3,"Not Specified, Payday Loan, and Student Loan",25,19,12.83,8,Standard,1191.5,26.22418922,24 Years and 4 Months,Yes,61.05508493,157.8737371,High_spent_Small_value_payments,359.692178
FNB0x202311,CUS_0xb8ap,September,Kuena Mokhothu,29,630-52-9597,Lawyer,143544.96,12156.08,5,7,18,0,,27,19,17.14,8,Standard,37.21,39.51353214,14 Years and 9 Months,Yes,244.4184003,116.5751937,Low_spent_Large_value_payments,393.311223
