ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
PB0xa9e1,CUS_0x3516,January,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,8,0,,30,15,10.07,908,Standard,647.15,39.59527331,22 Years and 5 Months,No,593.0166337,834.584283,Low_spent_Large_value_payments,546.1393837
PB0xa9e2,CUS_0x3516,February,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,8,0,,30,12,10.07,4,Standard,647.15,29.2724404,22 Years and 6 Months,No,593.0166337,897.0259289,Low_spent_Large_value_payments,483.6977378
PB0xa9e3,CUS_0x3516,March ,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,8,0,,28,,10.07,4,_,647.15,35.59626873,22 Years and 7 Months,No,593.0166337,,High_spent_Small_value_payments,966.1873455
PB0xa9e4,CUS_0x3516,April,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,8,0,,25,15,10.07,4,Standard,647.15,38.02593447,22 Years and 8 Months,No,593.0166337,186.3679221,High_spent_Large_value_payments,1164.355745
PB0xa9e5,CUS_0x3516,May,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,7,0,,14,11,4.07,5,Good,386.33,28.5469086,27 Years and 6 Months,No,0,193.025126,Low_spent_Large_value_payments,356.454874
PB0xa9e6,CUS_0x3516,June,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,7,0,,14,14,2.07,5,Good,386.33,41.19030662,27 Years and 7 Months,No,0,88.47696461,High_spent_Medium_value_payments,441.0030354
PB0xa9e7,CUS_0x3516,July,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,7,-100,,14,12,2.07,5,Good,386.33,30.74532704,27 Years and 8 Months,No,0,107.744805,High_spent_Medium_value_payments,421.735195
PB0xa9e8,CUS_0x3516,August,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,7,0,,15,11,2.07,5,Good,386.33,29.67989593,27 Years and 9 Months,NM,0,72.06386636,High_spent_Large_value_payments,447.4161336
PB0xa9e9,CUS_0x3516,September,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,5,1,Home Equity Loan,9,,2.5,1,Good,1340.52,40.15199699,NA,No,17.07939378,136.5667943,High_spent_Small_value_payments,369.3004786
PB0xa9e10,CUS_0x3516,October,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,5,1,Home Equity Loan,9,,2.5,1,Good,1340.52,28.44611138,33 Years and 6 Months,No,17.07939378,171.7269544,High_spent_Small_value_payments,334.1403185
PB0xa9e11,CUS_0x3516,November,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,5,1,Home Equity Loan,9,8,2.5,1,_,1340.52,38.57270246,33 Years and 7 Months,No,17.07939378,122.8977285,Low_spent_Large_value_payments,392.9695444
PB0xa9e12,CUS_0x3516,December,Bafokeng Masitha,32,470-35-4934,Architect,131990.84,10514.22003,5,4,5,1,Home Equity Loan,9,6,2.5,5,Good,1340.52,25.49057519,33 Years and 8 Months,No,17.07939378,128.7749917,Low_spent_Small_value_payments,407.0922811
PB0xa9e13,CUS_0x3516,January,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,28,114,"Home Equity Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Auto Loan, Payday Loan, and Mortgage Loan",28,12,7.56,2360,Standard,1639.82,23.87452619,13 Years and 5 Months,NM,63.9858289,102.7681133,Low_spent_Small_value_payments,270.9413911
PB0xa9e14,CUS_0x3516,February,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,28,7,"Home Equity Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Auto Loan, Payday Loan, and Mortgage Loan",28,10,7.56,9,Standard,1639.82,32.75045091,13 Years and 6 Months,Yes,63.9858289,196.1133554,Low_spent_Small_value_payments,177.5961491
PB0xa9e15,CUS_0x3516,March,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,28,7,"Home Equity Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Auto Loan, Payday Loan, and Mortgage Loan",24,10,7.56,9,_,1639.82,36.67117917,13 Years and 7 Months,NM,63.9858289,40.2091491,!@9#%8,323.5003553
PB0xa9e16,CUS_0x3516,April,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,28,7,"Home Equity Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Auto Loan, Payday Loan, and Mortgage Loan",28,,7.56,9,_,1639.82,25.95863898,13 Years and 8 Months,Yes,63.9858289,59.01572217,Low_spent_Small_value_payments,314.6937823
PB0xa9e17,CUS_0x3516,May,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,15,3,"Credit-Builder Loan, Debt Consolidation Loan, and Debt Consolidation Loan",21,14_,19.4,11,Standard,1530.57,34.45856741,19 Years and 0 Months,Yes,86.56126134,79.56251288,!@9#%8,386.2648924
PB0xa9e18,CUS_0x3516,June,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,15,3,"Credit-Builder Loan, Debt Consolidation Loan, and Debt Consolidation Loan",22,14,19.4,11,_,1530.57,27.9805084,19 Years and 1 Months,NM,86.56126134,262.7416445,Low_spent_Small_value_payments,253.0857608
PB0xa9e19,CUS_0x3516,July,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,15,3,"Credit-Builder Loan, Debt Consolidation Loan, and Debt Consolidation Loan",26,,19.4,11,Standard,1530.57,27.1088977,19 Years and 2 Months,Yes,86.56126134,125.0295021,High_spent_Medium_value_payments,350.7979032
PB0xa9e20,CUS_0x3516,August,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,15,3,"Credit-Builder Loan, Debt Consolidation Loan, and Debt Consolidation Loan",22,,19.4,11,Standard,1530.57,29.44690247,19 Years and 3 Months,Yes,86.56126134,60.28963499,High_spent_Medium_value_payments,415.5377703
PB0xa9e21,CUS_0x3516,September,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,34,7,"Auto Loan, Personal Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Auto Loan",19,14,13.36,10,Standard,1287.97,39.99694639,19 Years and 6 Months,NM,56.94747399,54.70069343,Low_spent_Medium_value_payments,230.2007909
PB0xa9e22,CUS_0x3516,October,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,34,7,"Auto Loan, Personal Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Auto Loan",17,13,13.36,10,_,1287.97,38.39785472,19 Years and 7 Months,Yes,56.94747399,47.568479,Low_spent_Small_value_payments,247.3330053
PB0xa9e23,CUS_0x3516,November,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,34,7,"Auto Loan, Personal Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Auto Loan",19,14,13.36,10,Standard,1287.97,32.93667213,19 Years and 8 Months,Yes,56.94747399,66.66466821,Low_spent_Small_value_payments,228.2368161
PB0xa9e24,CUS_0x3516,December,Bafokeng Masitha,33,470-35-4934,Architect,131990.84,10514.22003,5,4,34,7_,"Auto Loan, Personal Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Auto Loan",19,14,13.36,,Standard,1287.97,30.44387542,19 Years and 9 Months,Yes,56.94747399,49.61959981,Low_spent_Small_value_payments,245.2818845
PB0xa9e25,CUS_0x3516,January,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,29,5,"Mortgage Loan, Student Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",49,19,22.91,11,Bad,4440.42,30.06709455,1 Years and 5 Months,Yes,56.51776994,194.5431274,Low_spent_Small_value_payments,216.0105194
PB0xa9e26,CUS_0x3516,February,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,29,5,"Mortgage Loan, Student Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",54,,22.91,11,_,4440.42,25.32919776,1 Years and 6 Months,Yes,56.51776994,38.80901465,High_spent_Large_value_payments,321.7446321
PB0xa9e27,CUS_0x3516,March,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,29,5,"Mortgage Loan, Student Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",49,19,22.91,12,Bad,4440.42,40.35804601,1 Years and 7 Months,Yes,56.51776994,21.07555397,High_spent_Medium_value_payments,349.4780928
PB0xa9e28,CUS_0x3516,April,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,29,5,"Mortgage Loan, Student Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",49,23,22.91,12,_,4440.42,24.8172436,1 Years and 8 Months,Yes,56.51776994,,High_spent_Small_value_payments,290.9346826
PB0xa9e29,CUS_0x3516,May,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,11,1,Not Specified,13,8,7.58,8,Standard,302.75,37.53236067,15 Years and 11 Months,No,54.60540123,244.9742147,Low_spent_Small_value_payments,582.366384
PB0xa9e30,CUS_0x3516,June,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,11,1,Not Specified,8,11_,7.58,8,Standard,302.75,37.05468534,16 Years and 0 Months,No,54.60540123,406.2828496,High_spent_Small_value_payments,391.0577492
PB0xa9e31,CUS_0x3516,July,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,11,1,Not Specified,8,8,14.58,8,Standard,302.75,36.83134142,NA,No,54.60540123,580.7901544,Low_spent_Small_value_payments,246.5504444
PB0xa9e32,CUS_0x3516,August,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,11,1,Not Specified,8,8,7.58,8,Standard,302.75,36.9657417,16 Years and 2 Months,No,54.60540123,598.7325473,Low_spent_Medium_value_payments,218.6080515
PB0xa9e33,CUS_0x3516,September,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,12,2,"Debt Consolidation Loan, and Debt Consolidation Loan",24,15,8.23,8,Standard,148.52,30.74838586,NA,Yes,78.48455053,62.99444077,!@9#%8,702.9715087
PB0xa9e34,CUS_0x3516,October,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,12,2,"Debt Consolidation Loan, and Debt Consolidation Loan",24,14,5.23,10,Standard,148.52,28.36294318,9 Years and 6 Months,Yes,78.48455053,564.0466263,Low_spent_Medium_value_payments,241.9193232
PB0xa9e35,CUS_0x3516,November,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,12,2,"Debt Consolidation Loan, and Debt Consolidation Loan",24,13_,8.23,10,Standard,148.52,26.88038984,9 Years and 7 Months,Yes,78.48455053,150.5842274,High_spent_Large_value_payments,615.3817221
PB0xa9e36,CUS_0x3516,December,Bafokeng Masitha,34,470-35-4934,Architect,131990.84,10514.22003,5,4,12,2,"Debt Consolidation Loan, and Debt Consolidation Loan",24,13,8.23,10,_,148.52,36.1319081,9 Years and 8 Months,Yes,78.48455053,206.5146461,!@9#%8,589.4513034
PB0xa9e37,CUS_0x3516,January,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,30,3,"Mortgage Loan, Auto Loan, and Payday Loan",16,20,9.61,12,Bad,1868.46,34.09476806,10 Years and 3 Months,Yes,113.6499505,95.16337783,High_spent_Medium_value_payments,427.8651717
PB0xa9e38,CUS_0x3516,February,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,30,3,"Mortgage Loan, Auto Loan, and Payday Loan",21,21,2.61,12,Bad,1868.46,33.08529776,10 Years and 4 Months,Yes,113.6499505,104.751151,High_spent_Medium_value_payments,418.2773986
PB0xa9e39,CUS_0x3516,March,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,30,3,"Mortgage Loan, Auto Loan, and Payday Loan",21,21,2.61,12,Bad,1868.46,31.90876182,10 Years and 5 Months,Yes,113.6499505,203.3618343,High_spent_Small_value_payments,329.6667152
PB0xa9e40,CUS_0x3516,April,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,30,3,"Mortgage Loan, Auto Loan, and Payday Loan",21,20,2.61,12,Bad,1868.46,24.36098552,10 Years and 6 Months,Yes,113.6499505,386.9449052,Low_spent_Medium_value_payments,166.0836444
PB0xa9e41,CUS_0x3516,May,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,12,1,Home Equity Loan,13,7,5.58,3,Good,852.73,35.94430618,32 Years and 3 Months,No,51.55760108,182.3281911,High_spent_Medium_value_payments,678.0247079
PB0xa9e42,CUS_0x3516,June,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,12,1,Home Equity Loan,12,10,5.58,3,Good,852.73,33.25753502,32 Years and 4 Months,No,51.55760108,96.65160243,High_spent_Medium_value_payments,763.7012965
PB0xa9e43,CUS_0x3516,July,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,12,1,Home Equity Loan,12,10,5.58,3,_,852.73,37.39179115,32 Years and 5 Months,No,51.55760108,100,High_spent_Large_value_payments,763.4205397
PB0xa9e44,CUS_0x3516,August,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,12,1,Home Equity Loan,11,10,5.58,6,_,852.73,37.3417684,32 Years and 6 Months,No,51.55760108,100,High_spent_Large_value_payments,770.8831636
PB0xa9e45,CUS_0x3516,September,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,16,0,,11,16,18.53,2497,Standard,486.79,22.78510209,26 Years and 3 Months,Yes,0,55.88634375,Low_spent_Small_value_payments,391.3102812
PB0xa9e46,CUS_0x3516,October,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,16,0,,13,15,18.53,2,_,486.79,30.24121862,26 Years and 4 Months,NM,0,173.7008554,Low_spent_Small_value_payments,273.4957696
PB0xa9e47,CUS_0x3516,November,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,16,0,,10,14,18.53,1061,_,486.79,37.58961683,26 Years and 5 Months,Yes,0,208.6673467,Low_spent_Small_value_payments,238.5292783
PB0xa9e48,CUS_0x3516,December,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,16,0,,11,14,18.53,4,Standard,486.79,30.23255654,26 Years and 6 Months,NM,0,63.07024406,Low_spent_Small_value_payments,384.1263809
PB0xa9e49,CUS_0x3516,January,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,10,6,"Debt Consolidation Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, and Auto Loan",23,15,19.86,11,Standard,731.24,36.28725511,17 Years and 4 Months,Yes,77.11008866,173.2715867,Low_spent_Medium_value_payments,221.3270746
PB0xa9e50,CUS_0x3516,February,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,10,6,"Debt Consolidation Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, and Auto Loan",28,18,19.86,11,_,731.24,31.95127533,17 Years and 5 Months,NM,77.11008866,44.44034708,High_spent_Large_value_payments,310.1583143
PB0xa9e51,CUS_0x3516,March,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,10,6,"Debt Consolidation Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, and Auto Loan",22,18,19.86,2190,Standard,731.24,31.45004745,NA,NM,78930,175.1855113,Low_spent_Medium_value_payments,219.41315
PB0xa9e52,CUS_0x3516,April,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,10,6,"Debt Consolidation Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, and Auto Loan",23,20,19.86,11,Standard,731.24,26.88414054,17 Years and 7 Months,NM,77.11008866,224.9730938,Low_spent_Small_value_payments,179.6255675
PB0xa9e53,CUS_0x3516,May,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,10,3,"Auto Loan, Personal Loan, and Debt Consolidation Loan",24,20,19.7,8,Standard,517.51,36.10244099,NA,Yes,46.11577293,106.577119,!@9#%8,298.5546914
PB0xa9e54,CUS_0x3516,June,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,10,3,"Auto Loan, Personal Loan, and Debt Consolidation Loan",24,,19.7,8,Standard,517.51,31.95326739,13 Years and 1 Months,Yes,46.11577293,52.67580568,Low_spent_Large_value_payments,352.4560047
PB0xa9e55,CUS_0x3516,July,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,10,3,"Auto Loan, Personal Loan, and Debt Consolidation Loan",24,21,19.7,8,_,517.51,34.08079356,13 Years and 2 Months,Yes,46.11577293,38.73772357,High_spent_Large_value_payments,336.3940868
PB0xa9e56,CUS_0x3516,August,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,10,3,"Auto Loan, Personal Loan, and Debt Consolidation Loan",21,21,19.7,8,Standard,517.51_,24.88973471,13 Years and 3 Months,Yes,46.11577293,119.5854482,Low_spent_Medium_value_payments,295.5463622
PB0xa9e57,CUS_0x3516,September,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,11,4,"Credit-Builder Loan, Payday Loan, Personal Loan, and Payday Loan",0,3,3.45,1,Good,622.66,27.24501698,32 Years and 5 Months,No,229.451624,73.16084344,High_spent_Small_value_payments,307.5194961
PB0xa9e58,CUS_0x3516,October,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,11,4,"Credit-Builder Loan, Payday Loan, Personal Loan, and Payday Loan",3,0,3.45,1,Good,622.66,31.16984991,32 Years and 6 Months,No,229.451624,37.96828865,High_spent_Large_value_payments,322.7120509
PB0xa9e59,CUS_0x3516,November,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,11,4,"Credit-Builder Loan, Payday Loan, Personal Loan, and Payday Loan",0,1,3.45,3,Good,622.66,24.98768442,32 Years and 7 Months,No,229.451624,42.39707747,High_spent_Medium_value_payments,328.283262
PB0xa9e60,CUS_0x3516,December,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,11,4,"Credit-Builder Loan, Payday Loan, Personal Loan, and Payday Loan",0,1,3.45,3,Good,622.66,35.04437263,32 Years and 8 Months,No,229.451624,33.76850922,High_spent_Medium_value_payments,336.9118303
PB0xa9e61,CUS_0x3516,January,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,13,4_,"Personal Loan, Debt Consolidation Loan, Auto Loan, and Not Specified",13,18,8.26,8,Standard,1437.79,26.2548813,8 Years and 3 Months,Yes,45.43167275,54.40547078,Low_spent_Medium_value_payments,383.6656065
PB0xa9e62,CUS_0x3516,February,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,13,4,"Personal Loan, Debt Consolidation Loan, Auto Loan, and Not Specified",13,19,2.26,8,Standard,1437.79,30.22237646,8 Years and 4 Months,Yes,45.43167275,35.67850452,High_spent_Small_value_payments,382.3925727
PB0xa9e63,CUS_0x3516,March,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,13,4,"Personal Loan, Debt Consolidation Loan, Auto Loan, and Not Specified",17,21,8.26,8,Standard,1437.79,32.19705469,8 Years and 5 Months,Yes,45.43167275,88.02898626,Low_spent_Small_value_payments,360.042091
PB0xa9e64,CUS_0x3516,April,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,4536,4,"Personal Loan, Debt Consolidation Loan, Auto Loan, and Not Specified",13,18,5.26,8,Standard,1437.79,37.16390501,8 Years and 6 Months,Yes,45.43167275,196.3143057,Low_spent_Small_value_payments,251.7567716
PB0xa9e65,CUS_0x3516,May,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,3,4,"Home Equity Loan, Mortgage Loan, Auto Loan, and Not Specified",8,0,0.67,2,Good,872.16,32.23926549,26 Years and 0 Months,NM,82.7021934,,Low_spent_Large_value_payments,310.087149
PB0xa9e66,CUS_0x3516,June,Bafokeng Masitha,35,470-35-4934,Architect,131990.84,10514.22003,5,4,3,4,"Home Equity Loan, Mortgage Loan, Auto Loan, and Not Specified",8,1,0.67,4,_,872.16,39.15801945,26 Years and 1 Months,NM,82.7021934,188.2987345,!@9#%8,264.6698221
