ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
SB0xb5a1,CUS_0x902d,October,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,10,2,"Debt Consolidation Loan, and Auto Loan",27,,15.32,0,_,240.52,35.5578542,18 Years and 4 Months,Yes,183.4525866,352.0419692,Low_spent_Medium_value_payments,750.2791109
SB0xb5a2,CUS_0x902d,November,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,10,2,"Debt Consolidation Loan, and Auto Loan",32,15,15.32,0,_,240.52,29.33393876,18 Years and 5 Months,NM,183.4525866,137.0413465,High_spent_Large_value_payments,925.2797335
SB0xb5a3,CUS_0x902d,December,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,10,2,"Debt Consolidation Loan, and Auto Loan",27,17,15.32,5,Standard,240.52,33.3732399,18 Years and 6 Months,NM,183.4525866,581.4541945,Low_spent_Medium_value_payments,520.8668856
SB0xb5a4,CUS_0x902d,September,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,13,2,"Payday Loan, and Auto Loan",15,17_,15.02,6,Standard,2536.78,30.4619711,12 Years and 9 Months,Yes,26.25466106,114.0827821,Low_spent_Large_value_payments,265.9100569
SB0xb5a5,CUS_0x902d,October,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,13,2,"Payday Loan, and Auto Loan",17,,12.02,6,Standard,2536.78,22.15154334,12 Years and 10 Months,Yes,26.25466106,67.58550379,Low_spent_Small_value_payments,332.4073351
SB0xb5a6,CUS_0x902d,November,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,1694,2,"Payday Loan, and Auto Loan",15,18,15.02,6,_,2536.78,38.67401141,12 Years and 11 Months,Yes,26.25466106,,Low_spent_Medium_value_payments,354.3795751
SB0xb5a7,CUS_0x902d,December,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,13,2,"Payday Loan, and Auto Loan",15,17,20.02,6,Standard,2536.78,39.68400596,13 Years and 0 Months,Yes,26.25466106,47.09002472,Low_spent_Small_value_payments,352.9028142
SB0xb5a8,CUS_0x902d,September,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,7,3,"Personal Loan, Personal Loan, and Home Equity Loan",8,11,9.06,4,Good,671.94,25.39298331,31 Years and 6 Months,No,57.51493672,98.18669274,High_spent_Medium_value_payments,410.8771205
SB0xb5a9,CUS_0x902d,October,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,7,3,"Personal Loan, Personal Loan, and Home Equity Loan",8,9,9.06,8,Good,671.94,31.14222276,31 Years and 7 Months,No,57.51493672,192.5151773,Low_spent_Large_value_payments,336.548636
SB0xb5a10,CUS_0x902d,November,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,7,3,"Personal Loan, Personal Loan, and Home Equity Loan",8,9,9.06,8,Good,671.94,33.23433705,31 Years and 8 Months,No,57.51493672,85.50892522,High_spent_Medium_value_payments,423.5548881
SB0xb5a11,CUS_0x902d,December,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,7,3_,"Personal Loan, Personal Loan, and Home Equity Loan",5,12,9.06,8,_,671.94,24.10769072,31 Years and 9 Months,No,57.51493672,__10000__,Low_spent_Medium_value_payments,410.1873541
SB0xb5a12,CUS_0x902d,September,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,5,3,"Personal Loan, Student Loan, and Mortgage Loan",10,9,10.6,4,Good,494.48,33.18383976,NA,No,82.47324663,79.51270335,Low_spent_Small_value_payments,303.8056245
SB0xb5a13,CUS_0x902d,October,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,5,3,"Personal Loan, Student Loan, and Mortgage Loan",7,,11.6,4,_,494.48,32.69481155,24 Years and 7 Months,No,82.47324663,108.5676183,Low_spent_Small_value_payments,274.7507095
SB0xb5a14,CUS_0x902d,November,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,5,3_,"Personal Loan, Student Loan, and Mortgage Loan",7,12,10.6,5,Good,494.48,35.97472929,24 Years and 8 Months,No,82.47324663,80.76563809,Low_spent_Medium_value_payments,292.5526897
SB0xb5a15,CUS_0x902d,December,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,5,3,"Personal Loan, Student Loan, and Mortgage Loan",7,11,10.6,5,_,494.48,32.74374782,24 Years and 9 Months,No,49247,34.26998656,Low_spent_Large_value_payments,329.0483413
SB0xb5a16,CUS_0x902d,September,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,8,7,"Personal Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, Payday Loan, Not Specified, and Debt Consolidation Loan",23,16,16.23,11,Standard,124.18,25.72063781,13 Years and 5 Months,Yes,565.128007,1358.823603,!@9#%8,
SB0xb5a17,CUS_0x902d,October,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,8,7,"Personal Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, Payday Loan, Not Specified, and Debt Consolidation Loan",23,17,13.23,11,Standard,124.18,22.65300435,NA,NM,565.128007,538.6017941,!@9#%8,211.0438655
SB0xb5a18,CUS_0x902d,November,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,8,-100,"Personal Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, Payday Loan, Not Specified, and Debt Consolidation Loan",28,14,13.23,11,Standard,124.18,24.2342437,13 Years and 7 Months,Yes,565.128007,1077.274396,Low_spent_Medium_value_payments,
SB0xb5a19,CUS_0x902d,December,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,8,7,"Personal Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, Payday Loan, Not Specified, and Debt Consolidation Loan",20,19,13.23,11,_,124.18,30.0142786,13 Years and 8 Months,Yes,565.128007,259.3111406,High_spent_Large_value_payments,470.334519
SB0xb5a20,CUS_0x902d,September,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,12,4_,"Student Loan, Debt Consolidation Loan, Payday Loan, and Student Loan",13,6,2.47,6,Good,899.31,37.30755544,NA,No,224.1707891,103.174128,High_spent_Large_value_payments,534.7957496
SB0xb5a21,CUS_0x902d,October,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,12,4_,"Student Loan, Debt Consolidation Loan, Payday Loan, and Student Loan",9,4,8.47,6,Good,899.31,29.67964203,24 Years and 6 Months,No,224.1707891,237.381693,!@9#%8,410.5881845
SB0xb5a22,CUS_0x902d,November,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,12,4,"Student Loan, Debt Consolidation Loan, Payday Loan, and Student Loan",9,6,2.47,6,_,899.31,40.38996855,24 Years and 7 Months,No,224.1707891,66.5847016,High_spent_Medium_value_payments,581.3851759
SB0xb5a23,CUS_0x902d,December,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,12,4,"Student Loan, Debt Consolidation Loan, Payday Loan, and Student Loan",9,6,2.47,6,Good,899.31,25.26568251,24 Years and 8 Months,No,224.1707891,119.9393209,High_spent_Large_value_payments,518.0305566
SB0xb5a24,CUS_0x902d,September,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,17,5,"Debt Consolidation Loan, Payday Loan, Auto Loan, Mortgage Loan, and Not Specified",6,18,18.91,8,Standard,1341.22,26.62953786,10 Years and 1 Months,Yes,565.1074777,93.58970653,High_spent_Medium_value_payments,401.869352
SB0xb5a25,CUS_0x902d,October,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,17,5,"Debt Consolidation Loan, Payday Loan, Auto Loan, Mortgage Loan, and Not Specified",6,17,18.91,8,Standard,1341.22,24.85561364,10 Years and 2 Months,Yes,565.1074777,153.2154518,Low_spent_Small_value_payments,382.2436067
SB0xb5a26,CUS_0x902d,November,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,17,5,"Debt Consolidation Loan, Payday Loan, Auto Loan, Mortgage Loan, and Not Specified",6,,18.91,13,Standard,1341.22,28.02035135,10 Years and 3 Months,Yes,565.1074777,140.6277689,High_spent_Medium_value_payments,354.8312896
SB0xb5a27,CUS_0x902d,December,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,17,5,"Debt Consolidation Loan, Payday Loan, Auto Loan, Mortgage Loan, and Not Specified",6,16,18.91,13,Standard,1341.22,38.50462214,10 Years and 4 Months,Yes,565.1074777,161.58051,High_spent_Medium_value_payments,333.8785485
SB0xb5a28,CUS_0x902d,September,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,1,1,Mortgage Loan,13,6,9.66,0,Good,955.93,42.73340119,16 Years and 0 Months,No,109.1743903,89.8692222,High_spent_Large_value_payments,1276.343388
SB0xb5a29,CUS_0x902d,October,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,1,1,Mortgage Loan,13,5,9.66,0,_,955.93,26.59105138,16 Years and 1 Months,No,109.1743903,,High_spent_Small_value_payments,576.6539489
SB0xb5a30,CUS_0x902d,November,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,1,1,Mortgage Loan,18,8,9.66,5,_,955.93,32.9850009,16 Years and 2 Months,No,109.1743903,652.106421,Low_spent_Medium_value_payments,754.1061888
SB0xb5a31,CUS_0x902d,December,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,1,1,Mortgage Loan,13,5,9.66,5,Good,955.93,26.81771128,16 Years and 3 Months,No,109.1743903,1059.917647,Low_spent_Medium_value_payments,346.2949626
SB0xb5a32,CUS_0x902d,September,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,10,4,"Credit-Builder Loan, Personal Loan, Student Loan, and Credit-Builder Loan",17,19,13.85,9,Standard,942.4,25.75175207,28 Years and 11 Months,Yes,259.4262016,115.1490464,Low_spent_Small_value_payments,330.1681224
SB0xb5a33,CUS_0x902d,October,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,10,4,"Credit-Builder Loan, Personal Loan, Student Loan, and Credit-Builder Loan",12,19,13.85,9,Standard,942.4,24.33137684,29 Years and 0 Months,Yes,259.4262016,99.89341327,Low_spent_Small_value_payments,345.4237555
SB0xb5a34,CUS_0x902d,November,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,10,4,"Credit-Builder Loan, Personal Loan, Student Loan, and Credit-Builder Loan",13,21_,13.85,9,Standard,942.4,36.95800308,NA,Yes,259.4262016,159.5228566,Low_spent_Small_value_payments,285.7943121
SB0xb5a35,CUS_0x902d,December,Sebapala Mohlotsane,30,365-56-8101,Architect,117680.84,10057.73667,5,5,10,4,"Credit-Builder Loan, Personal Loan, Student Loan, and Credit-Builder Loan",18,17,19.85,9,Standard,942.4,33.35439251,29 Years and 2 Months,NM,259.4262016,54.37357789,!@9#%8,350.9435909
